"","Latitude","Longtitude","n"
"47",40.7944163032152,-73.9663979814282,3
"48",40.7944956468027,-73.9764453328046,3
"49",40.7945468811456,-73.9626021510285,1
"50",40.7945672316803,-73.9662895579894,1
"51",40.7947636618915,-73.9624395078786,1
"52",40.7948344474189,-73.9698143342746,1
"53",40.794918281657,-73.9761851484849,1
"54",40.7949459226159,-73.9660112733504,1
"55",40.7949496966618,-73.9697023225419,1
"56",40.7951188042611,-73.9658883905071,1
"57",40.7951363096981,-73.9695938894286,2
"58",40.7954308649104,-73.9730898050466,1
"59",40.795457850316,-73.9711792452995,1
"60",40.7954962692906,-73.9711503356619,1
"61",40.7957087929433,-73.9654583033623,1
"62",40.7958228384725,-73.9709371071812,1
"63",40.7960478587077,-73.9707492028557,1
"64",40.7960978872761,-73.9633308347022,1
"65",40.7962070309298,-73.9706624529759,1
"66",40.7962192014559,-73.9650896487032,1
"67",40.7962217099815,-73.974693064589,1
"68",40.7962459095041,-73.97249716231,3
"69",40.7962481880547,-73.9706082598418,1
"70",40.7963975616564,-73.964934253161,4
"71",40.7964540113052,-73.9704853719303,1
"72",40.7964822500091,-73.9737575406664,1
"73",40.7966082394498,-73.9726053631944,1
"74",40.7969842340183,-73.9627055212507,1
"75",40.7970110460634,-73.9607913010209,1
"76",40.7974227159478,-73.9697734316012,1
"77",40.7976020453894,-73.9735223361395,1
"78",40.7977410358913,-73.9695132412495,1
"79",40.7977749532786,-73.9734789263753,2
"80",40.7977855013765,-73.9621127453589,1
"81",40.7978104410494,-73.9485578280063,1
"82",40.7978901708801,-73.9732152223239,1
"83",40.7979276419543,-73.9693795207597,1
"84",40.7980131995048,-73.9712070330661,2
"85",40.7980396442471,-73.9674399521667,1
"86",40.7980928465951,-73.9619175350368,1
"87",40.798095038617,-73.9692602554612,1
"88",40.7981236074321,-73.9636800603623,1
"89",40.7982402903565,-73.952450989138,9
"90",40.798243039553,-73.9524618224992,25
"91",40.7983034882936,-73.9598478656937,1
"92",40.7983896505875,-73.9729549730063,5
"93",40.7984770548528,-73.9711923852842,4
"94",40.7985021265287,-73.9727093256805,3
"95",40.7986246751121,-73.9689024431448,1
"96",40.7986669398905,-73.9632896897597,1
"97",40.7988453091411,-73.9631704017489,1
"98",40.7989244347456,-73.947744309427,1
"99",40.7989411907622,-73.9723226817412,7
"100",40.7989452250591,-73.9668110537979,1
"101",40.7989619273329,-73.9519050897655,1
"102",40.79903080758,-73.9685808016678,1
"103",40.7990345028107,-73.9722865247686,2
"104",40.7991622274945,-73.9517496365803,1
"105",40.7992611557157,-73.9591574285063,1
"106",40.7992613213812,-73.9524322006669,1
"107",40.7993227078411,-73.9723225231145,1
"108",40.7993830770778,-73.9722610967941,3
"109",40.7993848309823,-73.9684108782507,2
"110",40.7994214928187,-73.9722177387233,1
"111",40.7994353827276,-73.9552890414362,51
"112",40.7994408777841,-73.955303485105,24
"113",40.7994504931618,-73.9590200624045,1
"114",40.7995028374007,-73.9683494209199,1
"115",40.7995959251127,-73.9589116174268,1
"116",40.7996020946096,-73.9700216595362,1
"117",40.7996163168794,-73.9720045583133,1
"118",40.7997041979675,-73.9625161809691,1
"119",40.7998243826566,-73.9698879205923,1
"120",40.7999168069344,-73.9512253690882,1
"121",40.8000142237589,-73.9716829344742,1
"122",40.8000353447396,-73.9524569306645,1
"123",40.8001477785102,-73.9680962828066,1
"124",40.8002405881531,-73.9509975831939,1
"125",40.8002872239208,-73.9509397586886,1
"126",40.8002987254718,-73.9680492559405,1
"127",40.8003201606374,-73.9509397344139,1
"128",40.8003481265455,-73.9680347846732,1
"129",40.8003642411336,-73.958333240791,6
"130",40.8003750274762,-73.950874679944,1
"131",40.8003811981406,-73.9525000263407,1
"132",40.8004992243501,-73.952507165915,1
"133",40.8005535775643,-73.9581958700687,10
"134",40.8006641002426,-73.9692482333691,1
"135",40.8007194922743,-73.9711733552853,7
"136",40.8008005372996,-73.9580151192944,7
"137",40.8008121824671,-73.9598860835226,1
"138",40.80088623075,-73.952506889797,1
"139",40.8009629101515,-73.9679080721722,1
"140",40.8010565206156,-73.9689663217493,1
"141",40.8010570328514,-73.970931209981,1
"142",40.8011133476928,-73.9577729226459,1
"143",40.8011525743589,-73.9689229337775,1
"144",40.8011551900429,-73.9596474892518,61
"145",40.8011887526831,-73.9539911791505,1
"146",40.8012628318594,-73.9613919903697,1
"147",40.8013308882731,-73.9525354680827,1
"148",40.8013353665007,-73.965065293867,1
"149",40.8014097064952,-73.9575776895239,1
"150",40.8014246947633,-73.9704145409643,4
"151",40.8014765711252,-73.9603624605798,1
"152",40.8014789035865,-73.9678536441516,1
"153",40.8014789814801,-73.9594016803388,1
"154",40.8015521454131,-73.9500141660405,4
"155",40.8015850821229,-73.9500141413073,1
"156",40.8017305071206,-73.9499092851395,4
"157",40.8017332392866,-73.9498803873682,2
"158",40.8018006924825,-73.9610774372067,63
"159",40.8018907702253,-73.9684241369187,1
"160",40.8019702034964,-73.9678317350249,1
"161",40.8019847274114,-73.9614890950663,2
"162",40.8020296211538,-73.9645375803984,1
"163",40.8020305294831,-73.959000414128,1
"164",40.8022253535319,-73.9588558144919,1
"165",40.8022534054558,-73.9532427608141,3
"166",40.8022765918911,-73.9643604611378,1
"167",40.8023000841718,-73.9697278728767,1
"168",40.8023463082102,-73.9681096770604,3
"169",40.8023588379509,-73.9494248045309,3
"170",40.8023857814,-73.9624713269173,2
"171",40.802403936452,-73.9680699174463,1
"172",40.802556405824,-73.9493054581198,1
"173",40.8025965316041,-73.9697927542537,1
"174",40.8026618925102,-73.9678964170141,1
"175",40.8027940652475,-73.9694639706461,1
"176",40.8028098323683,-73.9584436826359,1
"177",40.8029708522758,-73.9638616291013,46
"178",40.8030201145804,-73.9489655737419,2
"179",40.803024438915,-73.952667905737,1
"180",40.8031061922266,-73.9582484475244,5
"181",40.8031835809988,-73.9525413710675,1
"182",40.8032002577822,-73.9693626470833,1
"183",40.8032509054535,-73.9562075504252,1
"184",40.8033977658875,-73.9689435578695,1
"185",40.8034607147807,-73.9523388982223,2
"186",40.8034700938457,-73.9486148590482,1
"187",40.8035743692293,-73.948560597585,1
"188",40.8037683076821,-73.9689578332828,1
"189",40.8038006954068,-73.9669820124726,1
"190",40.8038808190101,-73.9688747029588,1
"191",40.8039960863943,-73.9527033356794,1
"192",40.8040174239357,-73.9582009188068,1
"193",40.8040410524926,-73.9630952851212,1
"194",40.8041359040418,-73.9682352429652,1
"195",40.8041684075169,-73.9667000865662,43
"196",40.8041780144509,-73.9481266794363,1
"197",40.804356622777,-73.9628675474479,4
"198",40.8044898714413,-73.9678666384537,1
"199",40.8045241112228,-73.9553036838302,1
"200",40.8045648918546,-73.9478410206036,1
"201",40.8046105324728,-73.9456339791415,1
"202",40.8046543053333,-73.9514639098291,1
"203",40.8046685661508,-73.9527570396932,1
"204",40.8046856188363,-73.9477506228836,2
"205",40.8048156937149,-73.95699035346,1
"206",40.8049215765592,-73.9475553822389,2
"207",40.8049257937649,-73.966157887058,1
"208",40.8050720226169,-73.9599593713485,4
"209",40.8051672774286,-73.9659807689084,1
